Video ID,Video title,Video publish date,Average percentage viewed (%),Average view duration,Views,Watch time (hours),Likes,MM Year,MM Week
iaXqmA0wVEw,Sipping the Stats: Exploring Alcohol Consumption Trends in OECD Countries,04/07/2023,14.68,0:12:35,184,38.6268,12,2023,27
HxyTqxVT5zY,Passport Prestige: The Most Desirable Passports Worldwide,11/07/2023,11.84,0:08:22,171,23.8726,25,2023,28
isjvcdL7yWg,Global Meltdown: The Factors Contributing Most to Global Warming,18/07/2023,13.31,0:12:15,137,27.9767,14,2023,29
dpyGRXwKcFg,The Big Thaw: Exploring the Disappearing Sea Ice,26/07/2023,7.83,0:08:13,118,16.1809,15,2023,30
Gw1N5px3go4,Thirsty Italians - Where to find drinking fountains in Milan,01/08/2023,11.41,0:09:55,128,21.1705,15,2023,31
8LhCATkyQkQ,Men vs. Women: What Does the Data Say We Drink on Dates?,23/08/2023,14.73,0:09:29,79,12.4888,14,2023,34
qJ6LshLjZ68,Visualizing the Rising Costs of Food in Great Britain,29/08/2023,23.27,0:08:18,102,14.1107,20,2023,35
JqPnNVGVZdg,Analyzing Employee Counts Across the Fortune Cloud 100,05/09/2023,10.53,0:10:31,228,40.0168,18,2023,36
tw60QJGd5vo,How much house can you ACTUALLY afford?,12/09/2023,10.33,0:09:43,201,32.5998,7,2023,37
 -dy10hFbiwA,New York City's Silent Killer: The Truth About Urban Heat,26/09/2023,9.97,0:09:17,127,19.6691,9,2023,39
eHxFwwQzHmg,From Sleep to Scream: A Deep Dive into Google Trends on America's Scary Dreams,04/10/2023,13.2,0:09:38,122,19.6179,10,2023,40
jkF8Y2P7oIE,Behind the Chart Redesign: Retail Investment Step-by-Step Makeover,10/10/2023,31.58,0:06:19,59,6.2205,14,2023,41
